简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
户型方方正正 满五年就一套 视野开阔直观汇文中学,保利蔷薇 , 2室2厅 , 88.63平米 ,58人关注 , 共27次带看 , 19天以前发布,960,单价108316元/平米,东城,"116.442531,39.89667"
禾风相府 南北通透 三居室 前后花园 人车分流,禾风相府 , 3室2厅 , 163.83平米 ,247人关注 , 共115次带看 , 6个月以前发布,1801,单价109932元/平米,东城,"116.428303,39.929284"
金鱼池南北通透大复式 正对花园、视野好 诚心出售,金鱼池中区 , 4室2厅 , 135.91平米 ,166人关注 , 共54次带看 , 1个月以前发布,950,单价69900元/平米,东城,"116.415431,39.896044"
天娇园商品房 朝东2居 对小区花园 拎包入住,天娇园 , 2室2厅 , 91.48平米 ,61人关注 , 共41次带看 , 27天以前发布,850,单价92917元/平米,东城,"116.445751,39.903761"
南北通透三居室 和平里一小 中间楼层 满五年,和平里三区 , 2室1厅 , 71.92平米 ,39人关注 , 共51次带看 , 23天以前发布,800,单价111235元/平米,东城,"116.427002,39.962219"
六铺炕 3室1厅 810万,六铺炕 , 3室1厅 , 72.84平米 ,72人关注 , 共59次带看 , 22天以前发布,810,单价111203元/平米,东城,"116.400533,39.962226"
划片花市小学 满五年无个税 正规一居  随时可看,东花市北里中区 , 1室1厅 , 48.72平米 ,39人关注 , 共28次带看 , 30天以前发布,450,单价92365元/平米,东城,"116.439746,39.905443"
南岗子南北小两居 精装修 无抵押 无贷款 卖房变现,南岗子 , 2室1厅 , 57.87平米 ,51人关注 , 共33次带看 , 17天以前发布,535,单价92449元/平米,东城,"116.434155,39.893704"
满五年业主名下仅有的一套商品房   产权清晰无抵押,富莱茵花园 , 2室1厅 , 64.16平米 ,99人关注 , 共30次带看 , 14天以前发布,435,单价67800元/平米,东城,"116.414452,39.866869"
把角全凸三居室 双卧室朝南 户型方正无浪费 有储藏间,安化北里 , 3室1厅 , 80.34平米 ,169人关注 , 共83次带看 , 1个月以前发布,730,单价90864元/平米,东城,"116.441608,39.898639"
东城区 09年新小区 正规两居室 业主诚心出售,华龙美晟 , 2室1厅 , 78.79平米 ,345人关注 , 共108次带看 , 3个月以前发布,518,单价65745元/平米,东城,"116.411858,39.869364"
满五年住宅 没有个税 可改三居室,海晟名苑 , 2室1厅 , 140.53平米 ,36人关注 , 共76次带看 , 1个月以前发布,1550,单价110297元/平米,东城,"116.447783,39.94387"
沙子口路70号 2室1厅 450万,沙子口路70号 , 2室1厅 , 58.83平米 ,77人关注 , 共46次带看 , 1个月以前发布,450,单价76492元/平米,东城,"116.412689,39.867798"
协和医院 灯市口近 166中学 带电梯,小羊宜宾胡同 , 2室1厅 , 61.77平米 ,114人关注 , 共119次带看 , 2个月以前发布,650,单价105230元/平米,东城,"116.437281,39.918733"
东城区 满五年 交通便利 南北通透 诚心出售,西革新里110号院 , 2室1厅 , 61.4平米 ,333人关注 , 共76次带看 , 3个月以前发布,400,单价65147元/平米,东城,"116.396844,39.872512"
小羊宜宾胡同 4室1厅 910万,小羊宜宾胡同 , 4室1厅 , 93.81平米 ,73人关注 , 共61次带看 , 1个月以前发布,910,单价97005元/平米,东城,"116.437281,39.918733"
东城 东直门外三居  公房满五年 有钥匙,东直门外斜街 , 3室1厅 , 65.42平米 ,175人关注 , 共46次带看 , 1个月以前发布,520,单价79487元/平米,东城,"116.446972,39.950006"
南北两居室，板厂小学   看房随时   带车位,夕照寺西里 , 2室1厅 , 54.19平米 ,194人关注 , 共61次带看 , 3个月以前发布,520,单价95959元/平米,东城,"116.446244,39.897173"
都市馨园三居室    南北通透    商品房  前后不临街,兴隆都市馨园 , 3室2厅 , 130.7平米 ,315人关注 , 共63次带看 , 4个月以前发布,980,单价74981元/平米,东城,"116.420099,39.901616"
什锦花园 精装南北通透两居室 明厨明卫 户型好 视野好,什锦花园胡同21号院 , 2室1厅 , 48平米 ,75人关注 , 共55次带看 , 1个月以前发布,650,单价135417元/平米,东城,"116.421058,39.93627"
水上华城东西通透全明格局观景两居阳台不算面积,水上华城 , 2室2厅 , 113平米 ,24人关注 , 共24次带看 , 27天以前发布,1160,单价102655元/平米,东城,"116.448783,39.894213"
崇文小学新景家园东西通透三居诚意出售,新景家园东区 , 3室1厅 , 92.28平米 ,55人关注 , 共28次带看 , 23天以前发布,960,单价104032元/平米,东城,"116.432142,39.902354"
天天家园 2室1厅 939万,天天家园 , 2室1厅 , 125.02平米 ,326人关注 , 共115次带看 , 4个月以前发布,939,单价75108元/平米,东城,"116.411885,39.87098"
东北两居，整个国瑞城仅有14套，有钥匙随时看房。,国瑞城中区 , 2室2厅 , 91.13平米 ,12人关注 , 共20次带看 , 12天以前发布,900,单价98761元/平米,东城,"116.429352,39.904538"
什锦花园胡同21号院 1室0厅 460万,什锦花园胡同21号院 , 1室0厅 , 34.6平米 ,50人关注 , 共26次带看 , 11天以前发布,460,单价132948元/平米,东城,"116.421058,39.93627"
满五年家庭就此一套房产 电梯房管理好 单独管理,上龙西里 , 3室1厅 , 80.37平米 ,42人关注 , 共33次带看 , 7天以前发布,750,单价93319元/平米,东城,"116.412788,39.958761"
安定门  朝西向大两居室  楼龄新  满五年,西营房 , 2室1厅 , 85.1平米 ,257人关注 , 共90次带看 , 4个月以前发布,730,单价85782元/平米,东城,"116.409688,39.958188"
满五年家庭名下只有一套住房，有电梯,东直门内北小街16号 , 2室2厅 , 89.74平米 ,50人关注 , 共19次带看 , 25天以前发布,860,单价95833元/平米,东城,"116.432396,39.951803"
花市枣苑商品房独立封闭小区带大型花园全南两居室,花市枣苑二期 , 2室1厅 , 115平米 ,30人关注 , 共54次带看 , 2个月以前发布,1190,单价103479元/平米,东城,"116.435751,39.902151"
商品一居 正对花园 采光充足 视野开阔 业主诚售,新景家园东区 , 1室1厅 , 59.5平米 ,70人关注 , 共56次带看 , 1个月以前发布,660,单价110925元/平米,东城,"116.432142,39.902354"
花市枣苑二期两居两卫，满五年无个税，有钥匙,花市枣苑二期 , 2室1厅 , 121.87平米 ,6人关注 , 共22次带看 , 2个月以前发布,1100,单价90261元/平米,东城,"116.435751,39.902151"
朝阳门内大街 2室1厅 560万,朝阳门内大街 , 2室1厅 , 69.33平米 ,79人关注 , 共29次带看 , 1个月以前发布,560,单价80774元/平米,东城,"116.435758,39.930641"
安定门 04年商品房 满五年唯壹 有钥匙 业主诚售,中景濠庭 , 1室1厅 , 74.21平米 ,38人关注 , 共87次带看 , 1个月以前发布,630,单价84895元/平米,东城,"116.405688,39.957686"
东花市北里西区 1室1厅 455万,东花市北里西区 , 1室1厅 , 49.71平米 ,383人关注 , 共86次带看 , 11个月以前发布,455,单价91531元/平米,东城,"116.435236,39.90518"
新景家园东区 2室1厅 830万,新景家园东区 , 2室1厅 , 80.46平米 ,54人关注 , 共38次带看 , 16天以前发布,830,单价103157元/平米,东城,"116.432142,39.902354"
青年湖东里 2室1厅 720万,青年湖东里 , 2室1厅 , 63.79平米 ,100人关注 , 共53次带看 , 6个月以前发布,720,单价112871元/平米,东城,"116.413053,39.962564"
小黄庄一区 98年建成 双南向 采光好 ,小黄庄一区 , 1室1厅 , 95.28平米 ,22人关注 , 共47次带看 , 11天以前发布,950,单价99707元/平米,东城,"116.416187,39.969551"
文津世家 3室2厅 1800万,文津世家 , 3室2厅 , 160平米 ,73人关注 , 共8次带看 , 25天以前发布,1800,单价112500元/平米,东城,"116.420268,39.949318"
歌剧院家属楼，双南向两居室，采光好。,东中街 , 2室1厅 , 62.56平米 ,17人关注 , 共17次带看 , 13天以前发布,690,单价110295元/平米,东城,"116.443175,39.941889"
北官厅胡同2号院 1室1厅 540万,北官厅胡同2号院 , 1室1厅 , 41.63平米 ,38人关注 , 共17次带看 , 12天以前发布,540,单价129715元/平米,东城,"116.434147,39.953592"
海晟国际公寓 1室0厅 530万,海晟国际公寓 , 1室0厅 , 46.48平米 ,27人关注 , 共13次带看 , 11天以前发布,530,单价114028元/平米,东城,"116.448623,39.945062"
东直门内北小街8号院 2室1厅 850万,东直门内北小街8号院 , 2室1厅 , 83.87平米 ,28人关注 , 共41次带看 , 1个月以前发布,850,单价101348元/平米,东城,"116.432388,39.95399"
花市小学 本家润园三期 高楼层 不临街 满五年,本家润园三期 , 2室1厅 , 64.54平米 ,58人关注 , 共51次带看 , 1个月以前发布,610,单价94516元/平米,东城,"116.44366,39.903303"
